neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365
0,34,1,190,3,69,13,2,258
1,4,1,124,28,22,19,1,103
0,12,1,135,30,56,135,1,42
1,45,0,122,3,93,4,1,246
1,8,0,109,1,104,86,2,364
1,2,0,85,30,64,136,1,318
0,6,1,145,3,127,6,2,72
1,8,1,195,11,30,28,1,249
0,33,1,250,2,106,59,3,272
0,20,0,125,3,6,137,1,325
1,53,1,575,2,191,84,1,298
1,8,1,150,30,48,123,1,35
0,21,0,70,5,47,11,1,203
1,18,0,90,2,120,38,1,132
1,19,0,65,3,52,138,1,5
1,19,1,500,2,48,27,4,297
1,30,1,250,3,32,117,2,276
1,9,1,125,25,43,32,1,102
1,11,1,200,30,39,86,1,251
0,20,1,229,1,50,139,1,188
4,59,1,90,30,4,48,2,346
1,8,1,110,13,38,140,1,0
0,20,0,59,3,29,27,1,15
0,12,1,195,4,59,9,1,71
0,12,1,169,1,68,76,2,215
1,4,1,113,14,26,141,3,253
1,2,1,250,14,31,142,1,78
2,56,1,115,2,198,50,1,257
0,20,0,55,2,1,143,1,0
0,12,0,69,2,220,4,2,8
1,23,1,150,3,286,59,1,191
0,10,1,169,2,398,12,3,182
0,20,0,179,3,36,13,28,79
1,7,0,150,3,36,22,1,49
0,38,1,135,4,6,144,1,0
0,3,1,350,6,14,145,1,156
0,12,0,120,14,76,94,6,343
1,19,0,71,2,182,102,1,200
0,20,0,349,3,8,146,28,60
0,20,0,349,3,7,117,28,60
0,16,1,165,30,34,147,2,189
0,20,0,249,3,2,148,28,60
0,32,0,100,3,66,149,2,0
0,32,1,200,3,80,38,2,106
1,19,1,169,4,240,113,1,276
0,6,1,185,3,46,16,1,248
0,21,1,65,2,228,115,1,194
0,13,1,130,35,5,150,1,135
0,12,1,199,30,8,151,1,30
1,19,1,225,2,33,48,1,0
0,20,0,179,3,13,59,28,81
0,15,1,150,5,5,60,1,0
1,19,1,139,1,388,47,1,142
1,60,0,95,3,223,9,2,60
0,15,1,79,15,11,152,5,179
1,23,1,150,2,151,6,2,52
0,3,1,650,5,0,-1,3,365
0,6,1,90,3,218,12,4,324
0,6,1,120,2,75,9,2,237
2,56,0,80,1,42,49,2,365
0,15,1,100,90,0,-1,1,365
0,6,1,175,2,370,2,1,204
0,15,1,120,5,104,24,1,272
0,12,1,140,7,13,153,1,0
0,6,1,200,5,4,154,1,9
0,3,0,165,4,11,76,3,365
1,26,1,125,4,1,155,3,181
1,14,1,130,30,19,88,1,189
1,4,2,65,7,131,58,2,0
0,13,1,123,30,15,62,1,189
1,30,0,67,2,136,32,1,296
2,61,0,50,1,43,156,1,88
0,34,1,130,7,98,12,1,35
0,12,0,100,3,31,157,1,0
1,8,1,212,21,45,158,1,35
0,12,1,190,3,124,47,1,359
0,20,0,599,3,9,159,28,60
1,19,1,249,5,166,25,2,365
2,62,0,70,27,13,160,1,335
0,15,1,100,30,15,132,5,282
1,2,0,60,3,380,47,2,247
0,6,1,135,2,86,27,1,102
0,20,1,175,3,248,84,3,274
1,8,1,120,5,49,17,1,201
1,1,1,169,18,54,85,1,98
0,15,1,165,7,3,161,1,157
1,2,0,90,1,1,162,1,0
1,28,1,225,2,56,163,1,312
0,13,0,95,2,163,117,2,331
0,15,0,55,2,247,24,2,275
1,7,0,85,10,116,121,1,174
0,10,1,199,14,27,106,2,223
1,23,1,211,1,52,97,3,361
1,1,1,145,6,39,164,1,0
1,2,0,65,14,35,21,1,283
1,2,1,99,1,320,9,1,220
2,56,1,110,4,30,27,1,363
0,15,1,80,3,225,6,4,315
0,32,1,150,30,95,68,1,281
0,6,1,110,4,70,12,1,283
1,14,0,290,2,35,64,1,20
1,19,0,87,2,0,-1,1,0
0,12,1,190,4,50,16,1,331
0,12,1,200,2,29,9,1,36
0,16,1,165,2,23,165,2,7
1,2,1,110,2,142,27,2,301
1,19,1,395,2,70,13,1,170
0,6,0,99,2,38,116,2,307
0,0,0,39,1,82,106,2,365
1,19,1,189,2,403,33,3,201
1,8,0,85,1,3,166,1,0
0,34,1,260,30,3,167,1,316
1,2,1,122,1,116,28,5,271
0,20,1,165,2,175,33,1,139
2,63,1,97,3,28,13,3,209
1,11,1,170,4,24,168,1,0
0,12,1,125,2,15,169,1,0
1,5,0,130,4,105,113,1,193
0,12,1,225,10,22,170,1,52
0,54,0,50,2,263,6,2,136
0,13,1,170,3,86,84,2,286
1,14,1,132,4,10,31,1,0
0,16,1,250,7,18,25,1,18
0,20,1,141,5,8,171,1,9
0,15,1,64,20,70,172,1,3
0,12,1,249,3,150,2,1,277
0,15,0,79,2,115,173,1,0
1,19,1,185,2,69,58,1,233
0,38,1,120,3,232,4,1,221
0,16,1,495,1,35,174,1,355
1,64,1,375,3,18,175,1,0
1,64,1,175,3,68,115,1,277
1,19,1,150,4,22,176,1,0
1,2,1,259,8,17,36,1,343
1,19,0,96,1,34,120,1,0
0,12,1,145,7,8,177,1,0
1,14,1,200,4,0,-1,1,0
1,8,1,95,5,2,136,1,0
0,17,1,250,4,52,75,1,188
1,2,1,295,2,74,27,2,264
1,52,1,175,3,18,178,1,0
0,12,1,451,2,72,121,1,331
1,8,1,165,2,191,11,1,236
1,28,1,250,4,0,-1,1,0
4,65,1,77,1,197,9,1,309
1,23,1,250,4,19,49,1,0
2,56,1,129,1,414,85,1,245
0,12,0,98,2,8,179,4,0
0,16,1,150,2,0,-1,1,8
1,19,0,95,7,25,180,1,359
1,2,0,55,3,119,51,5,333
1,2,1,300,2,203,49,3,258
2,39,0,42,40,53,181,3,236
0,20,1,125,2,104,27,1,22
1,19,0,175,3,175,12,1,236
1,2,0,75,3,38,182,3,365
0,12,1,255,45,39,183,1,89
0,6,1,72,31,88,27,1,164
0,6,0,165,1,27,184,4,311
0,12,1,165,5,117,11,1,23
0,3,0,75,3,43,77,2,365
0,20,1,130,5,4,185,1,0
0,12,1,139,2,385,11,1,222
0,6,0,88,1,64,13,3,238
0,6,0,80,1,39,6,3,218
1,14,0,150,2,37,85,1,0
1,8,1,200,3,10,15,1,0
1,19,1,200,2,103,6,1,235
2,39,0,42,40,41,21,3,246
0,12,0,90,6,3,186,1,0
1,2,1,295,3,227,47,1,247
0,12,1,450,5,37,95,1,15
0,15,1,130,2,29,12,1,119
0,12,0,89,3,205,187,3,0
1,2,1,198,5,42,116,2,234
1,19,1,99,2,280,2,3,257
0,20,0,46,4,86,97,3,350
1,27,0,140,2,54,27,1,221
0,33,1,500,7,7,188,1,0
1,45,0,75,5,57,15,2,201
2,39,0,33,44,31,62,3,161
1,8,1,250,31,188,189,1,259
0,21,0,60,3,480,33,1,0
1,30,0,75,2,34,19,1,222
0,33,1,350,5,6,190,1,0
1,14,1,205,9,3,191,2,76
0,16,1,219,5,2,186,1,0
0,16,0,60,1,20,192,6,258
1,8,1,185,2,129,76,1,14
1,19,1,190,3,147,38,1,27
0,10,1,105,28,101,13,1,167
1,4,1,250,2,11,162,2,68
1,8,1,175,65,11,193,1,358
1,2,0,65,2,41,27,2,59
0,6,1,75,2,87,194,1,0
4,66,0,37,4,117,1,1,232
0,12,1,85,2,86,43,2,15
0,67,1,106,7,0,-1,2,0
1,4,1,79,2,15,195,1,0
0,13,0,85,2,35,16,2,161
1,2,0,170,2,17,196,2,88
1,23,0,115,3,3,195,2,337
1,2,0,89,5,43,197,2,247
1,2,2,49,3,168,49,1,248
0,20,0,91,3,241,6,1,287
1,68,1,400,2,105,9,1,304
0,21,1,150,2,11,63,1,0
1,8,1,2000,30,30,198,11,0
0,15,1,97,3,31,199,1,193
1,19,0,100,4,49,200,2,43
0,12,1,179,4,23,201,1,25
0,20,1,500,2,20,6,2,127
1,14,1,429,10,18,6,1,0
1,26,1,189,6,90,9,1,303
1,23,0,120,2,99,59,1,345
1,64,1,300,1,6,12,3,115
2,56,1,107,30,21,202,8,200
2,56,1,95,30,24,203,8,271
1,2,1,199,2,111,70,1,12
1,4,1,120,2,86,84,1,268
1,11,1,199,15,66,204,2,89
4,69,1,125,2,271,84,2,347
0,12,0,70,2,227,46,1,37
0,12,0,75,4,80,49,1,0
1,11,0,100,30,5,205,1,359
0,6,1,99,2,187,115,2,287
1,14,1,250,1,2,206,1,0
0,12,1,350,6,1,207,1,233
0,29,1,170,3,67,208,1,129
1,19,1,165,1,63,209,1,0
1,7,0,99,1,89,13,1,353
1,14,0,255,4,1,210,1,365
0,70,1,169,3,177,11,1,297
0,15,1,99,4,90,38,1,56
1,28,1,169,7,39,33,1,44
0,6,1,160,3,42,36,1,355
0,29,1,215,3,33,118,1,156
0,16,1,130,3,179,66,1,273
1,19,0,110,3,81,211,2,274
1,7,0,150,28,43,11,2,258
0,12,0,65,30,52,10,1,276
2,39,0,75,2,160,86,1,65
1,14,1,149,6,23,212,2,0
1,8,0,89,6,35,213,1,180
1,30,0,50,1,225,214,1,343
0,24,0,43,1,401,102,2,43
0,24,0,42,1,72,32,2,96
0,12,0,85,1,46,72,1,59
0,6,1,139,3,83,9,1,255
0,16,0,105,1,211,19,2,252
0,16,1,265,5,15,215,1,0
1,7,1,149,1,122,9,1,20
1,2,0,68,2,295,214,2,188
0,6,1,99,3,207,33,1,304
1,2,0,75,3,50,40,2,38
0,12,0,100,2,273,6,1,254
1,28,2,90,1,0,-1,1,0
1,19,1,160,30,25,216,1,46
0,16,1,190,4,105,121,1,328
0,6,0,67,4,72,217,3,0
1,28,1,190,1,8,218,1,0
0,3,1,248,2,58,37,6,199
0,12,0,100,6,8,219,1,249
1,9,0,95,3,172,16,2,64
1,71,0,150,1,330,84,1,111
0,6,1,145,3,123,123,1,287
0,21,0,41,2,55,128,1,286
0,12,1,120,4,87,85,1,263
4,72,0,50,3,258,86,2,276
0,13,1,157,2,4,92,1,0
0,12,1,195,14,31,58,1,263
0,73,1,70,4,128,220,2,90
0,12,1,185,3,14,221,1,0
0,6,1,145,3,30,6,3,11
2,39,0,50,28,258,51,1,287
0,20,1,185,3,228,222,3,1
1,19,1,250,1,60,13,1,0
1,11,0,80,90,9,38,1,338
1,71,1,230,2,179,17,1,44
0,34,1,100,7,9,223,1,0
0,21,0,40,1,1,224,1,5
1,23,0,200,30,25,188,1,0
3,74,0,80,2,2,225,1,158
0,6,0,79,3,152,86,3,192
2,25,1,95,30,24,94,8,358
1,8,1,300,2,45,52,3,31
0,75,1,100,30,7,226,1,241
1,2,0,80,7,19,116,1,285
0,76,1,110,1,24,227,1,183
0,3,1,172,4,8,228,2,189
1,23,1,199,1,29,229,2,162
1,23,1,199,1,14,230,2,158
1,2,0,100,1,33,30,1,84
1,2,0,55,4,99,231,1,260
0,6,0,75,3,59,232,3,0
1,19,1,146,3,142,27,1,166
1,48,0,250,2,0,-1,1,0
0,20,1,116,29,22,233,1,335
1,77,0,150,3,82,1,2,90
0,16,0,120,2,23,234,6,342
1,14,1,199,4,32,118,1,28
0,29,1,150,5,24,9,1,363
1,2,0,69,1,59,235,2,86
1,2,0,300,55,6,236,2,83
0,38,1,230,4,18,237,1,0
1,1,1,125,4,3,154,1,0
0,6,0,79,3,115,2,3,264
0,13,0,130,3,154,17,2,305
0,3,0,239,1,164,13,11,356
3,78,1,75,6,76,28,1,278
0,12,1,220,3,116,38,2,135
0,6,1,80,3,234,38,4,308
1,19,1,288,2,120,6,1,229
0,6,1,135,4,82,36,1,273
1,11,1,225,3,13,58,1,83
1,9,0,110,30,59,6,1,281
0,6,1,100,7,63,47,1,321
1,7,0,130,2,52,238,1,303
1,19,0,89,1,278,85,3,192
0,79,1,200,5,1,239,1,0
0,6,1,80,2,35,8,1,36
4,80,0,50,5,235,11,2,271
1,4,1,135,28,115,38,2,341
1,19,0,90,1,109,240,1,333
1,27,0,270,5,1,241,1,210
0,6,1,110,3,305,59,1,231
1,4,1,145,1,102,46,1,308
1,7,1,179,30,83,50,1,292
2,44,0,55,1,19,242,1,311
1,1,0,110,2,61,36,1,264
1,2,1,325,5,89,38,1,153
2,25,0,75,30,65,243,3,219
0,10,1,300,1,40,27,1,0
1,11,0,130,30,80,244,2,332
1,1,1,190,30,136,17,1,120
1,23,1,200,3,100,245,1,191
0,12,1,180,2,125,49,3,248
0,40,1,350,5,40,246,1,67
1,19,1,160,4,0,-1,1,0
1,26,1,195,30,139,247,4,325
1,52,1,241,30,0,-1,1,249
1,9,1,300,7,2,248,1,0
2,49,1,75,28,49,47,1,313
1,23,1,100,5,8,249,1,0
1,68,1,399,1,0,-1,1,12
0,13,0,85,5,124,30,1,69
0,24,1,80,21,5,250,1,0
0,29,0,55,1,147,38,1,293
0,3,0,438,1,43,246,11,363
0,6,1,110,6,8,64,1,4
1,11,1,200,2,37,48,1,257
0,3,0,279,1,120,17,11,362
0,12,1,137,1,24,15,1,0
0,6,1,280,3,5,251,1,365
0,12,1,199,30,242,252,1,102
1,18,0,71,4,229,24,1,26
4,59,0,42,2,108,17,2,302
0,6,1,180,2,181,29,1,280
1,14,1,226,5,34,13,1,302
0,15,0,85,3,5,253,1,281
1,68,1,135,1,5,254,1,0
2,81,1,79,4,60,86,2,297
1,23,1,154,1,238,9,1,246
0,20,1,199,3,34,52,28,60
1,11,1,700,3,131,6,4,296
1,11,1,246,4,6,255,1,0
1,30,0,125,60,4,256,1,364
0,6,0,100,1,7,124,4,281
0,12,1,295,5,125,33,1,0
0,15,0,150,3,0,-1,1,0
1,9,1,119,1,49,257,1,0
1,2,0,125,1,11,258,2,365
1,2,1,400,5,0,-1,2,365
1,52,1,850,3,107,259,1,249
0,12,0,129,2,241,11,1,303
1,8,0,140,1,176,11,1,300
1,9,0,115,4,151,27,2,323
1,4,1,200,3,49,56,2,0
0,79,1,96,120,13,260,1,204
0,20,1,199,3,33,6,28,60
0,20,1,199,3,24,261,28,84
0,20,1,199,3,59,6,28,60
0,82,0,69,1,2,262,1,303
1,8,1,185,2,16,12,1,261
1,2,0,81,2,72,263,1,0
0,20,1,199,3,24,264,28,60
0,20,1,199,3,23,4,28,60
0,20,1,199,3,43,16,28,60
0,20,1,199,3,30,85,28,56
0,20,1,199,3,39,11,28,84
0,20,0,349,3,8,265,28,58
0,20,0,249,3,3,266,28,60
0,20,0,299,3,6,267,28,60
0,20,0,179,3,4,268,28,81
2,83,0,54,5,56,49,3,365
0,20,0,599,3,7,181,28,60
0,3,1,110,1,2,269,1,0
0,21,1,220,2,178,6,1,297
0,12,0,89,30,30,50,1,91
0,6,1,170,2,190,9,1,315
1,64,1,495,7,25,38,2,338
2,39,1,80,10,81,50,2,40
1,14,1,760,2,7,4,1,361
0,36,0,98,4,216,13,1,288
0,6,1,125,30,31,270,1,218
0,84,0,48,90,53,271,2,1
0,12,0,64,3,247,24,2,117
0,3,1,154,3,233,272,1,0
0,16,1,139,3,135,6,1,204
2,85,0,75,4,20,273,1,0
1,11,1,325,4,46,70,1,20
1,14,1,195,365,10,274,1,0
1,2,0,58,1,143,275,1,0
3,86,1,250,2,21,276,4,333
3,86,0,50,7,0,-1,4,189
3,86,1,125,2,8,106,4,353
0,13,1,70,7,4,277,2,0
1,28,1,189,2,314,13,2,206
0,6,1,130,3,18,46,1,1
1,11,1,145,7,11,278,1,0
1,43,0,101,7,51,70,1,307
1,14,0,95,5,20,279,1,0
1,11,1,375,7,8,280,1,0
1,23,1,153,31,59,113,1,27
0,54,1,92,4,54,6,1,27
1,23,0,80,5,10,96,1,348
1,11,1,300,4,153,86,4,246
0,13,1,145,3,110,70,1,15
1,19,0,88,2,69,15,2,0
1,2,1,155,1,1,281,1,5
0,12,1,185,180,24,282,1,0
2,39,0,73,2,95,48,2,0
1,8,1,225,2,129,247,1,107
1,45,0,85,7,171,94,2,144
0,15,0,99,2,20,8,1,98
0,84,0,48,90,17,283,2,0
1,71,1,200,5,8,284,1,0
1,28,1,485,7,11,285,1,0
1,64,1,310,5,5,237,1,89
0,12,1,110,4,0,-1,1,354
1,8,1,109,30,36,286,5,286
1,8,1,167,30,16,94,5,252
0,13,1,147,15,5,287,1,189
1,14,1,220,4,0,-1,1,0
1,23,1,195,4,68,116,1,271
1,53,1,199,28,89,275,1,0
1,43,0,65,30,10,6,1,0
2,87,0,55,1,38,13,1,0
4,88,0,50,2,15,8,1,337
0,0,0,60,2,20,288,1,347
1,4,0,99,3,25,19,2,127
1,2,1,130,2,35,25,1,41
0,12,1,290,30,1,289,1,0
1,14,1,350,3,64,70,1,18
0,15,0,50,3,26,134,1,158
2,25,0,96,2,244,86,1,270
0,21,0,45,15,21,290,3,88
2,31,0,85,2,270,33,2,306
0,6,0,34,10,16,291,3,216
1,19,1,250,3,24,59,1,16
0,12,0,190,1,30,12,2,365
0,12,0,75,2,5,292,2,365
0,24,1,93,4,115,214,1,312
0,6,0,60,5,9,86,2,33
0,6,0,65,5,45,58,2,0
1,1,1,125,365,19,293,1,365
1,28,1,300,3,5,96,1,27
1,52,1,150,2,203,84,1,300
1,30,1,56,122,20,294,1,216
1,19,1,299,3,49,295,1,365
0,20,0,60,4,6,224,1,303
0,13,1,88,5,7,213,1,0
0,12,0,60,2,35,38,2,161
1,11,1,1300,5,28,147,4,297
1,4,0,200,6,0,-1,1,0
1,2,0,99,2,54,6,1,50
0,21,1,110,3,115,86,2,28
0,3,1,135,5,6,6,1,317
1,28,1,110,15,1,186,1,275
0,6,1,165,3,204,38,1,80
